,names,responses
0,salutation_cv,"Ça va bien merci, en quoi puis-je vous aider ?"
1,salutation_cv,"Tout va bien merci, comment puis-je vous assister ?"
2,salutation_cv,"Je me porte bien merci, que puis-je faire pour vous ?"
3,salutation_cv,"Je vais bien merci, de quelle manière puis-je vous être utile ?"
4,salutation_cv,"Ça va, merci. Comment puis-je vous aider ?"
5,salutation_cv,"Tout va bien, merci. En quoi puis-je vous assister ?"
6,salutation_cv,"Je vais bien merci, que puis-je faire pour vous aujourd'hui ?"
7,salutation_cv,"Ça va bien, merci. Comment puis-je vous être utile ?"
8,salutation_cv,"Je me porte bien merci, comment puis-je vous assister aujourd'hui ?"
9,salutation_cv,"Tout va bien merci, de quelle manière puis-je vous aider ?"
10,salutation_cv,"Je vais bien, merci. À quoi puis-je vous servir ?"
11,salutation_cv,"Ça va bien merci, que puis-je faire pour vous aujourd'hui ?"
12,salutation_cv,"Je me porte bien merci, en quoi puis-je vous être utile ?"
13,salutation_cv,"Tout va bien merci, comment puis-je vous aider ?"
14,salutation_cv,"Ça va, merci. À quoi puis-je vous servir ?"
15,salutation_cv,"Je vais bien merci, de quelle manière puis-je vous assister ?"
16,salutation_cv,"Tout va bien, merci. Que puis-je faire pour vous ?"
17,salutation_cv,"Je me porte bien merci, en quoi puis-je vous aider ?"
18,salutation_cv,"Ça va bien, merci. Comment puis-je vous assister ?"
19,salutation_cv,"Je vais bien merci, que puis-je faire pour vous aider ?"
20,salutation_cv,"Ça va, merci. À quoi puis-je vous être utile ?"
21,salutation_cv,"Tout va bien merci, de quelle manière puis-je vous servir ?"
22,salutation_cv,"Je me porte bien merci, en quoi puis-je vous assister ?"
23,salutation_cv,"Ça va bien, merci. Que puis-je faire pour vous aujourd'hui ?"
24,salutation_cv,"Je vais bien merci, comment puis-je vous aider ?"
25,salutation_cv,"Tout va bien merci, à quoi puis-je vous servir ?"
26,salutation_cv,"Ça va, merci. De quelle manière puis-je vous aider ?"
27,salutation_cv,"Je me porte bien merci, que puis-je faire pour vous ?"
